time	x1	x2	x3	v1	v2	a
76000	0.0037873724123030413	-0.00921515773984993	0.0	6.220426221784079e-7	2.5653118044583063e-7	1.7227510699539702e-11
76100	0.0038495766745208822	-0.009189504621805346	0.0	6.20291653534989e-7	2.607109996316211e-7	1.7509686434188654e-11
76200	0.003911605839874381	-0.009163433521842184	0.0	6.185125501035813e-7	2.648787753967553e-7	1.7791034314076973e-11
76300	0.0039734570948847395	-0.00913694564430251	0.0	6.167053959660067e-7	2.6903431771962385e-7	1.8071541375746518e-11
76400	0.00403512763448134	-0.009110042212530547	0.0	6.148702764959354e-7	2.73177437182445e-7	1.8351194700713907e-11
76500	0.004096614662130934	-0.009082724468812304	0.0	6.130072783543254e-7	2.7730794498015703e-7	1.862998141610021e-11
76600	0.004157915389966366	-0.009054993674314287	0.0	6.111164894847996e-7	2.8142565292927376e-7	1.8907888695257275e-11
76700	0.004219027038914846	-0.00902685110902136	0.0	6.091979991089605e-7	2.855303734767021e-7	1.9184903758390546e-11
76800	0.004279946838825742	-0.00899829807167369	0.0	6.072518977216426e-7	2.8962191970852124e-7	1.9461013873178488e-11
76900	0.0043406720285979064	-0.008969335879702837	0.0	6.052782770861038e-7	2.937001053587231e-7	1.9736206355388494e-11
77000	0.004401199856306517	-0.008939965869166965	0.0	6.032772302291549e-7	2.9776474481791364e-7	2.0010468569489204e-11
77100	0.004461527579329432	-0.008910189394685174	0.0	6.01248851436229e-7	3.0181565314197457e-7	2.02837879292593e-11
77200	0.004521652464473056	-0.008880007829370977	0.0	5.991932362463898e-7	3.0585264606068485e-7	2.0556151898392652e-11
77300	0.004581571788097694	-0.008849422564764908	0.0	5.971104814472797e-7	3.098755399863018e-7	2.0827547991099893e-11
77400	0.004641282836242423	-0.008818435010766278	0.0	5.950006850700091e-7	3.1388415202210134e-7	2.1097963772706188e-11
77500	0.0047007829047494235	-0.008787046595564068	0.0	5.928639463839846e-7	3.178782999708764e-7	2.1367386860245438e-11
77600	0.004760069299387822	-0.008755258765566981	0.0	5.907003658916796e-7	3.218578023433944e-7	2.163580492305065e-11
77700	0.00481913933597699	-0.008723072985332642	0.0	5.885100453233455e-7	3.258224783668113e-7	2.1903205683340627e-11
77800	0.004877990340509325	-0.00869049073749596	0.0	5.862930876316652e-7	3.2977214799304435e-7	2.2169576916802676e-11
77900	0.004936619649272491	-0.008657513522696655	0.0	5.84049596986348e-7	3.3370663190710066e-7	2.2434906453171718e-11
78000	0.004995024608971126	-0.008624142859505945	0.0	5.817796787686674e-7	3.3762575153536297e-7	2.269918217680533e-11
78100	0.005053202576847993	-0.00859038028435241	0.0	5.79483439565942e-7	3.4152932905383134e-7	2.296239202725503e-11
78200	0.005111150920804587	-0.008556227351447026	0.0	5.771609871659586e-7	3.454171873963205e-7	2.3224523999833568e-11
78300	0.005168867019521183	-0.008521685632707393	0.0	5.748124305513408e-7	3.4928915026261273e-7	2.348556614617827e-11
78400	0.005226348262576317	-0.008486756717681131	0.0	5.724378798938598e-7	3.5314504212656543e-7	2.3745506574810418e-11
78500	0.005283592050565703	-0.008451442213468476	0.0	5.700374465486907e-7	3.569846882441734e-7	2.40043334516906e-11
78600	0.005340595795220572	-0.008415743744644058	0.0	5.676112430486138e-7	3.6080791466158537e-7	2.4262035000770073e-11
78700	0.005397356919525433	-0.008379662953177899	0.0	5.651593830981599e-7	3.64614548223074e-7	2.4518599504537993e-11
78800	0.005453872857835249	-0.008343201498355591	0.0	5.626819815677035e-7	3.684044165789595e-7	2.477401530456457e-11
78900	0.00551014105599202	-0.008306361056697695	0.0	5.601791544874995e-7	3.721773481934864e-7	2.5028270802040112e-11
79000	0.00556615897144077	-0.008269143321878347	0.0	5.576510190416685e-7	3.7593317235265266e-7	2.5281354458309986e-11
79100	0.005621924073344936	-0.008231550004643082	0.0	5.550976935621279e-7	3.796717191719913e-7	2.5533254795405328e-11
79200	0.005677433842701149	-0.008193582832725883	0.0	5.525192975224709e-7	3.8339281960430396e-7	2.5783960396569545e-11
79300	0.005732685772453397	-0.008155243550765452	0.0	5.499159515317929e-7	3.870963054473458e-7	2.6033459906780677e-11
79400	0.005787677367606576	-0.008116533920220718	0.0	5.472877773284659e-7	3.9078200935146197e-7	2.628174203326949e-11
79500	0.005842406145339422	-0.008077455719285571	0.0	5.446348977738625e-7	3.944497648271747e-7	2.652879554603324e-11
79600	0.005896869635116809	-0.008038010742802854	0.0	5.41957436846028e-7	3.980994062527211e-7	2.677460927834527e-11
79700	0.005951065378801411	-0.007998200802177582	0.0	5.392555196333019e-7	4.017307688815409e-7	2.7019172127260165e-11
79800	0.006004990930764741	-0.007958027725289427	0.0	5.365292723278904e-7	4.0534368884971427e-7	2.7262473054114635e-11
79900	0.0060586438579975305	-0.007917493356404456	0.0	5.33778822219388e-7	4.089380031833492e-7	2.7504501085024098e-11
80000	0.0061120217402194695	-0.007876599556086121	0.0	5.310042976882506e-7	4.125135498059178e-7	2.7745245311374767e-11
80100	0.006165122169988295	-0.007835348201105529	0.0	5.282058281992194e-7	4.160701675455417e-7	2.7984694890311423e-11
80200	0.0062179427528082165	-0.0077937411843509745	0.0	5.253835442946974e-7	4.1960769614222593e-7	2.822283904522077e-11
80300	0.006270481107237686	-0.007751780414736752	0.0	5.225375775880764e-7	4.231259762550411e-7	2.8459667066210302e-11
80400	0.006322734864996494	-0.007709467817111248	0.0	5.196680607570181e-7	4.2662484946925345e-7	2.8695168310582753e-11
80500	0.006374701671072195	-0.007666805332164323	0.0	5.167751275366874e-7	4.3010415830340245e-7	2.892933220330612e-11
80600	0.006426379183825864	-0.007623794916333982	0.0	5.138589127129396e-7	4.335637462163259e-7	2.916214823747904e-11
80700	0.006477765075097158	-0.0075804385417123496	0.0	5.109195521154604e-7	4.37003457614132e-7	2.939360597479181e-11
80800	0.006528857030308703	-0.007536738195950936	0.0	5.079571826108621e-7	4.4042313785711785e-7	2.9623695045982845e-11
80900	0.0065796527485697896	-0.007492695882165224	0.0	5.04971942095733e-7	4.4382263326663505e-7	2.985240515129053e-11
81000	0.0066301499427793625	-0.007448313618838561	0.0	5.01963969489643e-7	4.472017911319008e-7	3.0079726060900576e-11
81100	0.006680346339728326	-0.007403593439725371	0.0	4.989334047281042e-7	4.505604597167551e-7	3.0305647615388705e-11
81200	0.006730239680201137	-0.0073585373937536955	0.0	4.958803887554883e-7	4.538984882663639e-7	3.053015972615892e-11
81300	0.006779827719076686	-0.007313147544927059	0.0	4.928050635179005e-7	4.5721572701386696e-7	3.075325237587701e-11
81400	0.006829108225428476	-0.0072674259722256725	0.0	4.897075719560106e-7	4.605120271869714e-7	3.097491561889943e-11
81500	0.006878078982624077	-0.0072213747695069755	0.0	4.865880579978408e-7	4.637872410144895e-7	3.119513958169767e-11
81600	0.006926737788423861	-0.007174996045405527	0.0	4.834466665515131e-7	4.670412217328215e-7	3.141391446327783e-11
81700	0.006975082455079012	-0.007128291923232245	0.0	4.802835434979535e-7	4.7027382359238227e-7	3.1631230535595715e-11
81800	0.007023110809428808	-0.007081264540873007	0.0	4.770988356835568e-7	4.7348490186397267e-7	3.184707814396703e-11
